Inventory_list_LivingSport05-08-21,,,,,,,
,,,,,,,
LivingSport SKU no.,EAN / GS1,Description,Quantity,Next arrival,Comment,GW KG,Brand
400-211605,885652011808,Reebok Rep Discs 5kg set of 2 DELTA 25mm,663,,,0,REEBOK
400-211606,885652011815,Reebok Rep Bar DELTA 25mm,78,,,0,REEBOK
400-211607,885652011822,Reebok Rep Collars set of 2 DELTA 25mm,111,,,0,REEBOK
400-216091,5055436115137,"Reebok Rep discs 2 x 1,25kg DELTA 30mm",54,,,0,REEBOK
400-216092,5055436115144,"Reebok Rep discs 2 x 2,5kg DELTA 30mm",33,,,0,REEBOK
400-216095,5055436115175,Reebok rep set Steel bar DELTA 30mm,281,,,2.5,REEBOK
400-216096,5055436115182,Reebok Rep Muscle Clamps DELTA 30mm,468,,,0,REEBOK
400-900260,5701000291799,"Reebok Rack for Rep sets, 20 pcs. BLACK",0,1/3/22,,28,REEBOK
610-000120,5701000089440,TITAN LIFE Pump set 20 kg. 1 pcs.,58,8/10/21,,0,TITAN LIFE
610-000156,5701000089464,Bodybar 2kg,107,,,0,TITAN LIFE
610-000157,5701000089488,Bodybar 3kg,31,,,0,TITAN LIFE
610-000730,5701000095861,Træningsstativ til opbevaring af Pumpset,4,,,0,TITAN LIFE
Stability,,,,,,,
400-210150,5060200702758,Reebok Gymball 55cm ABS - Orange Studio,19,,,1.4,REEBOK
400-216015,5055436115618,Reebok Gymball 55cm DELTA Studio,44,10/5/21,,1.5,REEBOK
400-216016,5055436115625,Reebok Gymball 65cm DELTA Studio,425,,,1.8,REEBOK
400-216017,5055436115632,Reebok Gymball 75cm DELTA Studio,97,,,1.8,REEBOK
400-500010,7298417430722,bobo Balance Trainer - Home,0,,,0,ØVRIGE BRANDS
400-500011,7298417430739,bobo Balance Trainer - Motion,5,,,0,ØVRIGE BRANDS
400-900240,5701000291768,"Reebok Rack for Gymball, 1 pce, BLACK",0,1/3/22,,10,REEBOK
610-000083,5701000092662,TTIAN LIFE Balance Pad Air. Color: Black,801,,,0,TITAN LIFE
610-000655,5701000091207,Smart Pumpe til træningsbolde,242,,,0,TITAN LIFE
Pilates,,,,,,,
400-216023,5055436115564,Reebok Yoga Strap DELTA,140,,,0,REEBOK
400-800985,5701000169340,TITAN LIFE PRO Yoga Block,1394,,,0,TITAN LIFE
610-000105,5701000096820,Billig Foam Roller 15x45cm Blå,149,,,0,TITAN LIFE
610-000106,5701000096660,TITAN LIFE Foam Roller. Color: Blue,846,,,0,TITAN LIFE
610-000107,5701000096684,TITAN LIFE Foam Roller. Color: Green,367,,,0,TITAN LIFE
610-000314,5701000096806,TITAN LIFE foam roller 15x90cm. Color: Blue,555,,,0,TITAN LIFE
610-000467,5701000097025,TITAN LIFE Foam Roller 10 x 30 cm. Small. Black.,107,,,0,TITAN LIFE
610-000512,5701000096844,TITAN LIFE Foam Roller 32 x 15cm. Blue,154,,,0,TITAN LIFE
610-000590,5701000086821,Pilates Bold 22cm,191,,,0,TITAN LIFE
610-000771,5701000096943,TITAN LIFE Foam Roller Yoga. Black,10,,,0,TITAN LIFE
610-000773,5701000096981,TITAN LIFE Foam Roller Yoga. Orange,56,,,0,TITAN LIFE
Agility - Speed Training,,,,,,,
400-212050,5060200701850,Reebok Lateral Endurance Hurdle Studio,15,,,4.5,REEBOK
400-500012,5701000164796,BlazePod Trainer 6 pcs. +app+bag+power station ,75,,,0,BLAZEPOD
400-500013,5701000164802,BlazePod Standard 4 pcs. +app+bag+power station,114,,,0,BLAZEPOD
400-500014,5701000173767,Blazepod Single Pod. excl. power station,161,,,0,BLAZEPOD
400-500015,5701000173774,Blazepod Functional Adapter Kit+strap+cup+adapter,80,,,0,BLAZEPOD
400-500016,5701000173798,Blazepod Cone Adapter Kit ,57,,,0,BLAZEPOD
400-500017,5701000173804,UDGÅET - Blazepod Hardcase 6 pcs. incl. handle,3,,,0,BLAZEPOD
400-500018,5701000173811,Blazepod Hardcase 4 pcs. incl. handle,9,,,0,BLAZEPOD
Boxing,,,,,,,
400-103202,5055436114239,Reebok Combat Leather MMA Gloves L,2,,,0.3,REEBOK
400-104203,5055436114284,Reebok Combat MMA Glove XL,11,,,0.3,REEBOK
400-111580,5055436116011,Reebok Combat Hand Wraps (2m) Black,6,,,0.11,REEBOK
400-111712,885652010979,Reebok Retail Boxing Gloves 12OZ Gold/Black,92,,,0.8,REEBOK
400-111714,885652010986,Reebok Retail Boxing Gloves 14OZ Gold / Black,38,,,1,REEBOK
400-111716,885652010993,Reebok Boxing Gloves 16OZ Gold / Black,26,,,0,REEBOK
400-112750,5055436112655,Reebok Combat Grappling Bag,2,,,21.1,REEBOK
400-120112,885652010412,Reebok Retail Boxing Gloves - 12OZ Black,49,,,0.42,REEBOK
400-120114,885652010429,Reebok Retail Boxing Gloves - 14OZ Black,69,,,0.45,REEBOK
400-120116,885652010436,Reebok Boxing Gloves - 16oz Black,46,,,0,REEBOK
400-210075,5055436113300,Reebok Combat Boxing Mitts S Purple,3,,,0.7,REEBOK
400-210078,5055436113416,Reebok Combat Boxing Mitts XL Grey,4,,,0.7,REEBOK
400-210101,5055436113607,Reebok Combat Leather Training Glov 14OZ,4,,,0.2,REEBOK
470-000184,8965005123036,Starpro Boxing Crepe Bandage Black,8,,,0.075,STARPRO
Suspension,,,,,,,
610-000078,5701000092426,TITAN LIFE Suspension Trainer. Color Army,0,12/3/21,,0,TITAN LIFE
610-000618,5701000091887,TITAN LIFE Suspension Trainer.Color: Black,388,11/3/21,,0,TITAN LIFE
610-000744,5701000096141,TITAN LIFE Wall & ceiling attach. for ALL suspensi,525,,,0,TITAN LIFE
Timer,,,,,,,
610-000796,5701000103351,UDGÅET - TITAN LIFE Crossfit Timer,0,,,0,TITAN LIFE
Gym Rings,,,,,,,
610-000386,5701000091863,TITAN LIFE Gym rings - Synthetic I - Black rings,488,,,0,TITAN LIFE
Various,,,,,,,
400-210500,5055436111634,Reebok Parallette Bars Delta Studio,189,,,5,REEBOK
500-400400,5701000117259,Ergotile Quad C4 1000*1000*15mm Sort/grå,555,10/20/21,,0,ØVRIGE BRANDS
500-400500,5701000117266,Ergotile Quad C1 1000*1000*15mm Sort,305,10/20/21,,0,ØVRIGE BRANDS
